Ticker,Nombres,Ratio,Precio,Volumen nom,q_bid,px_bid,px_ask,q_ask,q_op,pct_change,usd_implic
EWZ,ISHARES MSCI BRAZIL CAP,2,29900,150579,19245,29780,29900,6,1397,"2,25",
SPY,SPDR S&P 500,20,50300,107819,216,50250,50300,25,5181,"0,68",
GLD,ETF SPDR GOLD TRUST,50,12970,101048,10,12930,12990,12,1548,"0,69",
VXX,iPath Series B S&P 500 VIX,5,8970,34643,200,8945,9000,10,320,"-4,21",
ETHA,ISHARES ETHEREUM TR ETF,5,4910,318626,20,4895,"4937,5",30,665,"0,35",
IBIT,ISHARES BITCOIN TRUST,10,6055,252677,13,6005,6080,2067,1575,"1,76",
USO,United States Oil Fund,15,12470,113246,10,12430,12530,59,702,"1,79",
XLE,ENERGY SELECT SECTOR SPDR FUND,2,42300,10934,2,42180,42480,8,559,"-1,35",
SLV,iShares SILVER TRUST,6,16870,41854,10,16750,17000,60,712,"1,68",
QQQ,INVESCO QQQ TRUST,20,45020,41381,2,45040,45200,3,1559,"0,58",
IWM,ISHARES TRUST RUSSELL 2000,10,38760,7240,1,38620,38900,60,211,"0,62",
URA,Global X Uranium ETF,5,15060,12999,1,15020,15060,1,434,"-0,26",
VIST,Vista Energy S.A.B. de C.V.,3,32100,270691,995,32000,32100,2436,4030,"-0,92","1.481,54"
MELI,Mercadolibre Inc.,120,22100,329779,21,22070,22100,339,4531,"1,32","1.477,44"
NU,NU Holdings Ltd/Cayman Islands,2,11030,963731,580,11000,11050,1996,3665,"2,89","1.480,54"
MSFT,Microsoft Corp.,30,18400,547876,7,18380,18420,210,8110,"-0,21","1.479,97"
MU,Micron Technology Inc,5,124400,24487,2,123700,124800,4,1095,"3,68","1.475,72"
PBR,Petrobras (ADR),1,30480,119428,1,30360,30540,1,1402,"3,32",
META,Meta Platforms Inc,24,38720,206120,572,38640,38740,53,2844,"2,70","1.479,25"
SATL,Satellogic Inc.,1,10600,512518,1,10560,10600,16,2069,"3,92","1.470,18"
KO,The Coca Cola Company,5,23110,46444,60,23100,23130,6,2164,"1,09","1.478,00"
ASTS,AST SpaceMobile Inc,15,9040,39684,20,9000,9060,18,331,"-4,94","1.479,86"
GPRK,Geopark Ltd.,1,12020,37695,10,12030,12080,25,292,"-3,06","1.476,66"
NFLX,"Netflix, Inc.",48,"3132,5",232793,8,3105,"3132,5",31,1789,"2,70","1.472,82"
VALE,Vale S.A.,2,12340,118106,4,12300,12350,14,700,"-0,24",
HMY,Harmony Gold Mining Company Ltd.,1,24760,14144,20,24620,24780,1,541,"0,89",
GLOB,Globant S.A.,18,3720,66354,21,3690,3720,20,572,"-1,26","1.477,66"
BBV,Bilbao Vizcaya Argentaria S.A.,1,33400,653,51,32960,39500,68,32,"-0,57",
GLD,ETF SPDR GOLD TRUST,50,12970,101048,10,12930,12990,12,1548,"0,69",
SLV,iShares SILVER TRUST,6,16870,41854,10,16750,17000,60,712,"1,68",